Question,Answer
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about princess who was turned into swan ,Swan Lake 
Which ballet by Pyotr Tchaikovsky is partially based on an Ancient German legend about princess who was turned into swan ,Swan Lake 
Are swan birds of the family Anatidae ,Yes 
Are swan birds of the family Anatidae ,Yes 
Do swans feature strongly in mythology ,Yes 
Do swans feature strongly in mythology ,Yes 
Is the Trumpeter Swan the largest bird ,It is the largest bird of North America 
Is the Trumpeter Swan the largest bird ,The Trumpeter Swan is the largest bird of North America 
What is the name of young swans ,Cygnets 
What is the name of young swans ,Cygnets 
Where is the word swan derived from ,Old English swan 
Where is the word swan derived from ,The Old English word swan derived from the IndoEuropean root *swen meaning to sound or to sing 
What is the best known story about swan ,The Ugly Duckling fable 
What is the best known story about swan ,The Ugly Duckling 
Are swans and ducks birds of the same family ,Yes 
Are swans and ducks birds of the same family ,Yes 
What is the name of an adult female ,Pen 
What is the name of an adult female ,An adult female swan is called pen 
What is the color of the Australian Black Swan ,Completely black except for the white flight feathers on its wings 
What is the color of the Australian Black Swan ,Completely black except for the white feathers on its wings 
Is the Tiger member of the Felidar family ,No 
Is the Tiger member of the Felidar family ,No 
Are tigers solitary animals ,Yes 
Are tigers solitary animals ,Yes 
Are panthers type of tiger ,No 
Are panthers type of tiger ,No 
What do tigers powerfully built legs and shoulders allow tigers to do ,They have the ability to pull down prey substantially heavier than themselves 
What do tigers powerfully built legs and shoulders allow tigers to do ,have the ability to pull down prey substantially heavier than themselves 
What would tiger do when seized by crocodile ,tiger will strike at the reptiles eyes with its paws 
What would tiger do when seized by crocodile ,strike at the reptiles eyes with its paws 
What are the typical features of tiger country ,It will always have good cover it will always be close to water and plenty of prey 
What are the typical features of tiger country ,Good cover close to water and plenty of prey 
Would it be common for tigers to mate in January ,Yes 
Would it be common for tigers to mate in January ,Yes 
About how many square kilometers would be needed to house female tigers ,60 square kilometers 
About how many square kilometers would be needed to house female tigers ,60 
Would tiger be likely to feedon smaller animals such as mice ,Yes 
Is the name of the upper shell of turtle called the plastron ,No 
Do scutes fall away from the turtles shell ,Some of the scutes eventually fall away from the shell 
Do scutes fall away from the turtles shell ,yes eventually 
Do Terrestrial tortoises have short feet ,Yes 
Do Terrestrial tortoises have short feet ,yes 
How many groups are turtles broken down into ,Two 
How many groups are turtles broken down into ,two 
Where are the only surviving giant tortoises ,They are on the Seychelles and Galápagos Islands 
Where are the only surviving giant tortoises ,Seychelles and Galpagos Islands 
How do turtles chew food ,Turtles use their jaws to cut and chew food 
How do turtles chew food ,Turtles use their jaws to cut and chew food 
Are tortoises land based ,Yes 
Are tortoises land based ,yes 
Where are turtle eggs layed ,Turtles lay eggs on land 
Where are turtle eggs layed ,on land 
Is turtle soup considered delicacy ,No 
Is turtle soup considered delicacy ,yes 
Are Testudines the crown group of the superorder Chelonia ,yes 
Are Testudines the crown group of the superorder Chelonia ,Yes 
Do turtles breathe air ,yes 
Do turtles breathe air ,Yes 
Are harvesting wild turtles legal anywhere ,yes 
Approximately how many species of Testudines are alive today ,300 
Approximately how many species of Testudines are alive today ,300 
Where is harvesting wild turtles legal ,Florida 
Where is harvesting wild turtles legal ,Florida 
What was the largest ever chelonian ,Archelon ischyros 
What was the largest ever chelonian ,The great letherback sea tutrtle 
Is there way to approximate the age of turtle ,yes 
Is there way to approximate the age of turtle ,Yes 
Can turtles spend all their time underwater ,no 
Can turtles spend all their time underwater ,No 
Was Abraham Lincoln the sixteenth President of the United States ,yes 
Was Abraham Lincoln the sixteenth President of the United States ,Yes 
Did Lincoln sign the National Banking Act of 1863 ,yes 
Did Lincoln sign the National Banking Act of 1863 ,Yes 
Did his mother die of pneumonia ,no 
Did his mother die of pneumonia ,No 
How many long was Lincolns formal education ,18 months 
How many long was Lincolns formal education ,18 months 
When did Lincoln begin his political career ,1832 
When did Lincoln begin his political career ,1832 
What did The Legal Tender Act of 1862 establish ,the United States Note the first paper currency in United States history 
What did The Legal Tender Act of 1862 establish ,The United States Note the first paper currency in United States history 
Who suggested Lincoln grow beard ,11yearold Grace Bedell 
Who suggested Lincoln grow beard ,Grace Bedell 
When did the Gettysburg address argue that America was born ,1776 
When did the Gettysburg address argue that America was born ,1776 
Did Lincoln beat John Breckinridge in the 1860 election ,yes 
Did Lincoln beat John Breckinridge in the 1860 election ,Yes 
Was Abraham Lincoln the first President of the United States ,No 
Was Abraham Lincoln the first President of the United States ,No 
Did Lincoln start his political career in 1832 ,Yes 
Did Lincoln start his political career in 1832 ,Yes 
Did Lincoln ever represent Alton Sangamon Railroad ,Yes 
Did Lincoln ever represent Alton Sangamon Railroad ,Yes 
Which county was Lincoln born in ,Hardin County 
Which county was Lincoln born in ,Southeast Hardin County Kentucky 
When did Lincoln first serve as President ,March 1861 
When did Lincoln first serve as President ,March 1861 
Who assassinated Lincoln ,John Wilkes Booth 
Who assassinated Lincoln ,John Wilkes Booth 
Did Lincoln win the election of 1860 ,Yes 
Did Lincoln win the election of 1860 ,Yes 
Who was the general in charge at the Battle of Antietam ,General McClellan 
Who was the general in charge at the Battle of Antietam ,John Alexander McClernand 
Why did Lincoln issue the Emancipation Proclamation ,To free slaves 
Why did Lincoln issue the Emancipation Proclamation ,The goal was to weaken the rebellion which was led and controlled by slave owners 
Do scholars rank lincoln among the top three presidents ,Yes 
Did lincoln have 18 months of schooling ,Yes 
Was Lincoln chosen as presidential candidate in 1860 ,Yes 
How old was Lincoln in 1816 ,seven 
When was the first photgraph of lincoln taken ,1846 
How long was Lincolns legal Career ,23 years 
What trail did Lincoln use Farmers Almanac in ,he defended William Duff Armstrong 
Did Abraham Lincoln live in the Frontier ,Yes 
Did Lincolns Wifes Family support slavery ,Yes 
Are beetles insects ,Yes 
Are beetles insects ,Yes 
Can beetles be found in polar regions ,No 
Can beetles be found in polar regions ,No 
Do beetles antennae function primarily as organs of smell ,Yes 
Do beetles antennae function primarily as organs of smell ,Yes 
What are the three sections of beetle ,the head the thorax and the abdomen 
What are the three sections of beetle ,The head the thorax and the abdomen 
Which defense mechanism uses colour or shape to deceive potential enemies ,mimicry 
Which defense mechanism uses colour or shape to deceive potential enemies ,Mimicry 
Which type of beetle is pest of potato plants ,Colorado potato beetle 
Which type of beetle is pest of potato plants ,Colorado potato beetle 
How can beetle larvae be differentiated from other insect larvae ,their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body 
How can beetle larvae be differentiated from other insect larvae ,By their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body 
What do beetles eat ,Some are generalists eating both plants and animals Other beetles are highly specialised in their diet 
What do beetles eat ,They often feed on plants and fungi break down animal and plant debris and eat other invertebrates 
What are the similarities between beetles and grasshoppers ,mouthparts 
What are the similarities between beetles and grasshoppers ,Beetles have mouthparts similar to those of grasshoppers 
Are certain species of beetles considered pests ,Yes 
Are certain species of beetles considered pests ,yes 
Is beetles general anatomy uniform ,Yes 
Is beetles general anatomy uniform ,yes 
Are beetles endopterygotes ,yes 
Are beetles endopterygotes ,yes 
How many species of beetles are there ,350000 
How many species of beetles are there ,about 350000 
When are sperm cells transferred to the female ,during pairing 
When are sperm cells transferred to the female ,During pairing 
What is the study of beetles called ,coleopterology 
What is the study of beetles called ,coleopterology 
Is it possible that there are more than 350000 species of beetles ,yes 
Is it possible that there are more than 350000 species of beetles ,yes 
Is the Adephaga suborder larger than the Polyphaga suborder ,no 
Is the Adephaga suborder larger than the Polyphaga suborder ,yes 
Do carrion beetles eat dung ,no 
Do carrion beetles eat dung ,no 
What are prey of various animals including birds and mammals ,Beetles 
What was given by Aristotle for the hardened shield like forewings ,The name Coleoptera 
Who or what vary greatly in form within the coleoptera ,Antennae 
Are many beetles territorial ,Yes 
Are beetles endopterygotes with complete metamorphosis ,Yes 
Oxygen is what ,One kind of gas obtained via tracheal system 
Is there thriving industry in the collection of beetle specimens for amateur and professional collectors ,Yes 
Have coleopterists formed organisations to facilitate the study of beetles ,Yes 
Is the study of beetles called coleopterology and its practitioners are coleopterists ,Yes 
May single female lay from several dozen to several thousand eggs during her lifetime ,Yes 
Can beetles be found in almost all habitats ,Yes 
What happened on plants and fungi ,They are food to beetles 
Was Calvin Coolidge the twentyninth vice president ,no 
Was Calvin Coolidge the twentyninth vice president ,Yes 
Was Calvin Coolidge born in Plymouth Windsor County Vermont ,yes 
Was Calvin Coolidge born in Plymouth Windsor County Vermont ,Yes 
Did Coolidge graduate from Black River Academy ,yes 
Did Coolidge graduate from Black River Academy ,Yes 
When did he drop John from his name ,upon graduating from college 
When did he drop John from his name ,Upon graduating from college 
When did Coolidge meet and marry Grace Anna Goodhue ,1905 
When did Coolidge meet and marry Grace Anna Goodhue ,In 1905 
What period of rapid economic growth did the United States experience during Coolidges presidency ,the Roaring Twenties 
What period of rapid economic growth did the United States experience during Coolidges presidency ,the Roaring Twenties 
What did Coolidge do after graduating from Amherst ,Coolidge moved to Northampton Massachusetts 
What did Coolidge do after graduating from Amherst ,Coolidge moved to Northampton Massachusetts to take up the practice of law 
Of what state was Coolidge governor ,Massachusetts 
Who appointed Harlan Fiske Stone to the Supreme Court ,Coolidge 
Who appointed Harlan Fiske Stone to the Supreme Court ,Coolidge 
Was Coolidge the thirteenth President of the United States ,No 
Was Coolidge the thirteenth President of the United States ,Yes 
Was Calvin Coolidge Republican ,Yes 
Was Calvin Coolidge Republican ,Yes 
Was Calvin Coolidge governor of Massachusetts ,Yes 
Was Calvin Coolidge governor of Massachusetts ,Yes 
When was Coolidge born ,July 1872 
When was Coolidge born ,Plymouth Windsor County Vermont 
Where did Coolidges grandfather had government offices ,Plymouth 
Where did Coolidges grandfather had government offices ,The town of Plymouth Notch 
Which state were Coolidge born in ,Plymouth Windsor County Vermont 
Which state were Coolidge born in ,Vermont 
Is Calvin Jr older than John Coolidge ,No 
Is Calvin Jr older than John Coolidge ,No 
Did Coolidge get in Amherst College ,Yes 
Did Coolidge get in Amherst College ,Yes 
What caused Calvin Jrs death ,heart attack 
What caused Calvin Jrs death ,Heart attack 
Was John Calvin Coolidge Jr was born in Las Vegas ,No 
Was John Calvin Coolidge Jr was born in Las Vegas ,no 
Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918 ,Yes 
Was Coolidge opposed in the Republican nomination for Governor of Massachusetts in 1918 ,no 
Did Coolidge meet and marry Grace Anna Goodhue ,Yes 
Did Coolidge meet and marry Grace Anna Goodhue ,yes 
What year did Coolidge open his own law office ,1898 
What year did Coolidge open his own law office ,1898 
What fraternity was Coolidge member of ,Phi Gamma Delta 
What fraternity was Coolidge member of ,phi gamma delta 
In 1905 Coolidge met and married whom ,Grace Anna Goodhue 
In 1905 Coolidge met and married whom ,Grace Anna Goodhue 
Why did Coolidge not attend law school ,It was too expensive 
Why did Coolidge not attend law school ,cost 
Have there been other US presidents that have visited Cuba ,No 
Have there been other US presidents that have visited Cuba ,no 
What years were Coolidges two sons born in ,1906 and 1908 
What years were Coolidges two sons born in ,1906 and 1908 
Did France cede nearly all of its colonies in Europe in 1763 ,Yes 
Did France cede nearly all of its colonies in Europe in 1763 ,yes 
Is Canada member of the OECD ,Yes 
Is Canada member of the OECD ,yes 
Is Canadas official language Zulu ,No 
Is Canadas official language Zulu ,no 
What is one significant nonofficial language ,Chinese 
What is one significant nonofficial language ,Chinese 
In addition to Port Royal where else did Samuel de Champlain establish settlement ,Quebec City 
What was the Consitution Act formerly called ,The British North America Act 
What was the Consitution Act formerly called ,British North America Act 
Which countries established colonies in Canada ,France and Britain 
Which countries established colonies in Canada ,Fance and Britain 
How has Canada helped UN peacekeeping efforts ,During the Suez Crisis of 1956 Lester Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force Canada has since served in 50 peacekeeping missions including every UN peacekeeping effort until 1989 
How has Canada helped UN peacekeeping efforts ,Canada has played leading role in UN peacekeeping efforts During the Suez Crisis of 1956 Lester Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force Canada has since served in 50 peacekeeping missions including every UN peacekeeping effort until 1989 
What percentage of the population dont speak English or French at home ,28% 
What percentage of the population dont speak English or French at home ,150% 
Is Canada bilingual ,Yes 
Is Canada bilingual ,Yes it is 
Did Canadian soldiers win the Battle of Vimy Ridge in 1917 ,Yes 
Did Canadian soldiers win the Battle of Vimy Ridge in 1917 ,No it did not 
Is an official language of Canada German ,No 
Is an official language of Canada German ,No it is not 
How many provinces and territories does Canada have ,federation now comprising ten provinces and three territories 
How many provinces and territories does Canada have ,Ten provinces and three territories 
What is Canadas national unemployment rate ,While as of October 2007 Canadas national unemployment rate of 59% is its lowest in 33 years Provincial unemployment rates vary from low of 36% in Alberta to high of 146% in Newfoundland and Labrador 
What is Canadas national unemployment rate ,In October 2007 Canadas national unemployment rate is 59% 
Where is the most densely populated part of Canada ,The most densely populated part of the country is the Quebec CityWindsor Corridor along the Great Lakes and Saint Lawrence River in the southeast 
Where is the most densely populated part of Canada ,The most densely populated part of the country is the Quebec CityWindsor Corridor along the Great Lakes and Saint Lawrence River in the southeast 
What is the largest country in the world ,Canada is the second largest country in the world after Russia and largest on the continent 
What is the largest country in the world ,Russia 
What is the largest religious group in Canada ,According to 2001 census 771% of Canadians identified as being Christians of this Catholics make up the largest group 436% of Canadians The largest Protestant denomination is the United Church of Canada about 165% of Canadians declare no religious affiliation and the remaining 63% were affiliated with religions other than Christianity of which the largest is Islam numbering 19% followed by Judaism 11% 
What is the largest religious group in Canada ,Christian 
When did Canada have one of the largest armed forces in the world ,1944 
When did Canada have one of the largest armed forces in the world ,World War II 
What have been inhabited for millennia by aboriginal peoples ,The lands 
European books and maps began referring to this region as Canada in what year ,1545 
What was Canadas most important industry until the 1800s ,The fur trade 
Is it true that it angered many residents of the thirteen colonies ,yes 
How do cuba and declining participation relate ,Canada maintains full relations with both 
Is it true that provinces have large degree of autonomy ,yes 
What did Canada adopt in 1965 ,The Maple Leaf Flag 
What arrived in Britain ,The first Canadian Army units in WW II 
Are Canada two official languages English and French ,yes 
Are Canada official national sports ice hockey winter and lacrosse summer ,yes 
Is Canada geographically vast and ethnically diverse country ,yes 
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht ,no 
Did Cartier not use the word Canada to refer to not only that village but the entire area subject to Donnacona Chief at Stadacona ,yes 
Did continental European immigrants not settle the prairies ,no 
Is it the world second largest country by total area ,yes 
What happened in 1867 ,Canada was formed as federal semiautonomous polity 
Are ducks in the Arctic Northern Hemisphere migratory ,Some are 
Are ducks in the Arctic Northern Hemisphere migratory ,yes 
Is drake male ,Yes 
Is drake male ,yes 
Do all ducks quack ,No 
Do all ducks quack ,no 
What is the name of specialized species of duck adapted to catch large fish ,the smew 
What animal attracts the most humor and silliness ,The duck 
What animal attracts the most humor and silliness ,the duck 
What is an economic use of duck ,Meat 
What is an economic use of duck ,being farmed for their meat 
Who is Daffy Duck ,silly cartoon character 
Who is Daffy Duck ,silly cartoon character 
What makes it more difficult for diving duck to fly ,They are heavier 
What makes it more difficult for diving duck to fly ,they are heavier 
What are the reasons for hunting wild ducks ,Meat eggs and feathers 
Do ducks forage underwater ,yes 
Do ducks forage underwater ,Diving ducks and sea ducks forage underwater 
Do all ducks quack ,no 
Do all ducks quack ,No 
Is foie gras often made from ducks ,yes 
Is foie gras often made from ducks ,Yes 
What economic uses to ducks have ,They are farmed for their meat eggs and feathers They are also kept and bred by aviculturists and often displayed in zoos 
What economic uses to ducks have ,They can be farmed for meat eggs and feathers 
What kind of ducks feed on land ,Dabbling ducks 
What kind of ducks feed on land ,Dabbling ducks feed on land 
What unrelated water birds are ducks sometimes confused with ,loons or divers grebes gallinules and coots 
What unrelated water birds are ducks sometimes confused with ,loons or divers grebes gallinules and coots 
What does the word duck mean ,It is the common name for number of species in the Anatidae family of birds 
What does the word duck mean ,to bend down low as if to get under something 
What are some common predators of ducks ,Pike crocodilians herons hawks and eagles 
What are some common predators of ducks ,pike crocodilians and other aquatic hunters 
How does Mallards tongue work ,Its tongue is flat plate and on the tongues back end is short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat 
How does Mallards tongue work ,It uses short spikes to push struggling prey and other food down its throat 
Are diving ducks heavier tha dabbling ducks ,Yes 
